second,Volt1,Volt2
-99.100E-06,+120.603014E-03,-8.040201E-03
-98.100E-06,+152.763817E-03,-6.030151E-03
-97.100E-06,+178.033020E-03,-6.030151E-03
-96.100E-06,+209.045224E-03,-8.040201E-03
-95.100E-06,+233.165827E-03,-6.030151E-03
-94.100E-06,+257.286429E-03,-6.604451E-03
-93.100E-06,+289.447233E-03,-6.030151E-03
-92.100E-06,+313.567836E-03,-4.307250E-03
-91.100E-06,+336.539838E-03,-6.030151E-03
-90.100E-06,+361.809041E-03,-6.030151E-03
-89.100E-06,+377.889443E-03,-5.455851E-03
-88.100E-06,+402.010046E-03,-4.020100E-03
-87.100E-06,+418.090448E-03,-6.030151E-03
-86.100E-06,+434.170850E-03,-4.020100E-03
-85.100E-06,+443.359651E-03,-2.297200E-03
-84.100E-06,+457.142852E-03,-2.297200E-03
-83.100E-06,+470.926054E-03,-4.020100E-03
-82.100E-06,+488.155056E-03,-4.020100E-03
-81.100E-06,+474.371854E-03,-2.010050E-03
-80.100E-06,+498.492457E-03,-2.010050E-03
-79.100E-06,+490.452256E-03,-3.158650E-03
-78.100E-06,+490.452256E-03,-3.732950E-03
-77.100E-06,+498.492457E-03,+0.0E+00
-76.100E-06,+490.452256E-03,-2.010050E-03
-75.100E-06,+490.452256E-03,-574.300E-06
-74.100E-06,+482.412055E-03,-2.010050E-03
-73.100E-06,+466.331653E-03,+0.0E+00
-72.100E-06,+458.291452E-03,-1.148600E-03
-71.100E-06,+450.251251E-03,-287.150E-06
-70.100E-06,+434.170850E-03,-287.150E-06
-69.100E-06,+418.090448E-03,+0.0E+00
-68.100E-06,+407.753047E-03,+0.0E+00
-67.100E-06,+393.969845E-03,+2.010050E-03
-66.100E-06,+361.809041E-03,+0.0E+00
-65.100E-06,+342.282839E-03,-861.450E-06
-64.100E-06,+314.716436E-03,-1.435750E-03
-63.100E-06,+289.447233E-03,+287.150E-06
-62.100E-06,+265.326630E-03,+2.010050E-03
-61.100E-06,+241.206028E-03,+2.010050E-03
-60.100E-06,+217.085425E-03,+0.0E+00
-59.100E-06,+184.924621E-03,+0.0E+00
-58.100E-06,+152.763817E-03,+2.010050E-03
-57.100E-06,+121.751614E-03,+0.0E+00
-56.100E-06,+88.442210E-03,+3.732950E-03
-55.100E-06,+56.281406E-03,+2.010050E-03
-54.100E-06,+24.120603E-03,+4.020100E-03
-53.100E-06,+0.0E+00,+2.010050E-03
-52.100E-06,-37.903804E-03,+2.010050E-03
-51.100E-06,-64.321607E-03,+2.871500E-03
-50.100E-06,-96.482411E-03,+2.010050E-03
-49.100E-06,-128.643215E-03,+2.010050E-03
-48.100E-06,-152.763817E-03,+861.450E-06
-47.100E-06,-182.627421E-03,+2.010050E-03
-46.100E-06,-217.085425E-03,+2.010050E-03
-45.100E-06,-241.206028E-03,+2.010050E-03
-44.100E-06,-269.921031E-03,+2.010050E-03
-43.100E-06,-296.338834E-03,+287.150E-06
-42.100E-06,-321.608037E-03,+1.722900E-03
-41.100E-06,-341.134239E-03,-1.148600E-03
-40.100E-06,-369.849242E-03,+574.300E-06
-39.100E-06,-393.969845E-03,+2.010050E-03
-38.100E-06,-407.753047E-03,-1.435750E-03
-37.100E-06,-418.090448E-03,-2.010050E-03
-36.100E-06,-434.170850E-03,+0.0E+00
-35.100E-06,-451.399852E-03,+0.0E+00
-34.100E-06,-466.331653E-03,-2.010050E-03
-33.100E-06,-480.114855E-03,-2.010050E-03
-32.100E-06,-490.452256E-03,+2.010050E-03
-31.100E-06,-496.195257E-03,-1.435750E-03
-30.100E-06,-498.492457E-03,-2.010050E-03
-29.100E-06,-499.641057E-03,-2.010050E-03
-28.100E-06,-498.492457E-03,-2.297200E-03
-27.100E-06,-498.492457E-03,-2.871500E-03
-26.100E-06,-498.492457E-03,-2.010050E-03
-25.100E-06,-498.492457E-03,-4.020100E-03
-24.100E-06,-490.452256E-03,-4.020100E-03
-23.100E-06,-474.371854E-03,-2.871500E-03
-22.100E-06,-467.480253E-03,-5.743001E-03
-21.100E-06,-457.142852E-03,-5.743001E-03
-20.100E-06,-445.656851E-03,-4.881551E-03
-19.100E-06,-428.427849E-03,-5.455851E-03
-18.100E-06,-410.050247E-03,-6.030151E-03
-17.100E-06,-391.672645E-03,-6.030151E-03
-16.100E-06,-369.849242E-03,-6.030151E-03
-15.100E-06,-344.580039E-03,-6.030151E-03
-14.100E-06,-322.756637E-03,-4.020100E-03
-13.100E-06,-297.487434E-03,-6.030151E-03
-12.100E-06,-273.366831E-03,-8.040201E-03
-11.100E-06,-249.246228E-03,-6.030151E-03
-10.100E-06,-219.382625E-03,-6.030151E-03
-9.100E-06,-192.964822E-03,-6.030151E-03
-8.100E-06,-160.804018E-03,-6.030151E-03
-7.100E-06,-128.643215E-03,-4.594401E-03
-6.100E-06,-104.522612E-03,-8.040201E-03
-5.100E-06,-64.321607E-03,-6.030151E-03
-4.100E-06,-32.160804E-03,-6.030151E-03
-3.100E-06,+0.0E+00,-6.030151E-03
-2.100E-06,+19.526202E-03,-7.178751E-03
-1.100E-06,+49.389806E-03,-4.020100E-03
-100E-09,+81.550609E-03,-6.030151E-03
+900E-09,+120.603014E-03,-9.188801E-03
+1.900E-06,+144.723617E-03,-8.040201E-03
+2.900E-06,+176.884420E-03,-4.020100E-03
+3.900E-06,+209.045224E-03,-6.030151E-03
+4.900E-06,+233.165827E-03,-8.040201E-03
+5.900E-06,+257.286429E-03,-6.317301E-03
+6.900E-06,+281.407032E-03,-6.030151E-03
+7.900E-06,+318.162236E-03,-5.168701E-03
+8.900E-06,+337.688439E-03,-6.030151E-03
+9.900E-06,+361.809041E-03,-6.030151E-03
+10.900E-06,+385.929644E-03,-4.020100E-03
+11.900E-06,+397.415645E-03,-5.168701E-03
+12.900E-06,+411.198847E-03,-4.020100E-03
+13.900E-06,+441.062450E-03,-3.732950E-03
+14.900E-06,+442.211051E-03,-4.020100E-03
+15.900E-06,+460.588653E-03,-4.020100E-03
+16.900E-06,+466.331653E-03,-6.030151E-03
+17.900E-06,+476.669054E-03,-3.445800E-03
+18.900E-06,+490.452256E-03,-4.020100E-03
+19.900E-06,+497.343857E-03,-3.732950E-03
+20.900E-06,+498.492457E-03,-4.020100E-03
+21.900E-06,+498.492457E-03,-2.010050E-03
+22.900E-06,+496.195257E-03,-2.010050E-03
+23.900E-06,+490.452256E-03,-0.0E+00
+24.900E-06,+484.709255E-03,-2.010050E-03
+25.900E-06,+477.817655E-03,+0.0E+00
+26.900E-06,+474.371854E-03,-2.010050E-03
+27.900E-06,+459.440053E-03,-1.722900E-03
+28.900E-06,+450.251251E-03,+287.150E-06
+29.900E-06,+436.468050E-03,+0.0E+00
+30.900E-06,+426.130649E-03,+0.0E+00
+31.900E-06,+396.267045E-03,-574.300E-06
+32.900E-06,+377.889443E-03,+287.150E-06
+33.900E-06,+362.957641E-03,+2.010050E-03
+34.900E-06,+337.688439E-03,+287.150E-06
+35.900E-06,+318.162236E-03,+1.148600E-03
+36.900E-06,+297.487434E-03,+574.300E-06
+37.900E-06,+265.326630E-03,+0.0E+00
+38.900E-06,+241.206028E-03,+2.010050E-03
+39.900E-06,+209.045224E-03,+1.722900E-03
+40.900E-06,+183.776021E-03,+3.732950E-03
+41.900E-06,+152.763817E-03,+1.722900E-03
+42.900E-06,+120.603014E-03,+3.158650E-03
+43.900E-06,+90.739410E-03,+2.010050E-03
+44.900E-06,+64.321607E-03,+0.0E+00
+45.900E-06,+32.160804E-03,+3.445800E-03
+46.900E-06,-8.040201E-03,+2.010050E-03
+47.900E-06,-32.160804E-03,+2.010050E-03
+48.900E-06,-64.321607E-03,+2.010050E-03
+49.900E-06,-96.482411E-03,+2.010050E-03
+50.900E-06,-128.643215E-03,+2.584350E-03
+51.900E-06,-160.804018E-03,+2.010050E-03
+52.900E-06,-184.924621E-03,+0.0E+00
+53.900E-06,-213.639624E-03,+287.150E-06
+54.900E-06,-249.246228E-03,+287.150E-06
+55.900E-06,-273.366831E-03,+2.010050E-03
+56.900E-06,-289.447233E-03,+0.0E+00
+57.900E-06,-321.608037E-03,+2.010050E-03
+58.900E-06,-345.728640E-03,+2.010050E-03
+59.900E-06,-369.849242E-03,+0.0E+00
+60.900E-06,-390.524045E-03,+0.0E+00
+61.900E-06,-408.901647E-03,+1.722900E-03
+62.900E-06,-426.130649E-03,-287.150E-06
+63.900E-06,-438.765250E-03,-2.010050E-03
+64.900E-06,-450.251251E-03,-2.584350E-03
+65.900E-06,-466.331653E-03,+0.0E+00
+66.900E-06,-476.669054E-03,+0.0E+00
+67.900E-06,-485.857856E-03,-1.148600E-03
+68.900E-06,-490.452256E-03,-2.010050E-03
+69.900E-06,-498.492457E-03,-2.297200E-03
+70.900E-06,-506.532658E-03,-2.010050E-03
+71.900E-06,-506.532658E-03,-3.445800E-03
+72.900E-06,-506.532658E-03,-0.0E+00
+73.900E-06,-496.195257E-03,-2.584350E-03
+74.900E-06,-493.898056E-03,-4.020100E-03
+75.900E-06,-490.452256E-03,-4.307250E-03
+76.900E-06,-474.371854E-03,-4.020100E-03
+77.900E-06,-470.926054E-03,-4.020100E-03
+78.900E-06,-458.291452E-03,-7.465901E-03
+79.900E-06,-442.211051E-03,-6.030151E-03
+80.900E-06,-426.130649E-03,-5.455851E-03
+81.900E-06,-414.644647E-03,-4.020100E-03
+82.900E-06,-387.078244E-03,-6.030151E-03
+83.900E-06,-368.700642E-03,-4.307250E-03
+84.900E-06,-349.174440E-03,-7.178751E-03
+85.900E-06,-327.351037E-03,-7.465901E-03
+86.900E-06,-305.527635E-03,-6.030151E-03
+87.900E-06,-273.366831E-03,-4.594401E-03
+88.900E-06,-249.246228E-03,-6.030151E-03
+89.900E-06,-217.085425E-03,-6.317301E-03
+90.900E-06,-192.964822E-03,-6.030151E-03
+91.900E-06,-152.763817E-03,-6.030151E-03
+92.900E-06,-128.643215E-03,-6.030151E-03
+93.900E-06,-104.522612E-03,-6.030151E-03
+94.900E-06,-66.618808E-03,-7.465901E-03
+95.900E-06,-36.755204E-03,-8.040201E-03
+96.900E-06,-8.040201E-03,-6.030151E-03
+97.900E-06,+22.972003E-03,-8.040201E-03
+98.900E-06,+60.875807E-03,-7.178751E-03
+99.900E-06,+80.402009E-03,-7.465901E-03
