second,U1,U2
-0.25075,0.0168342,0.0094849
-0.24825,-0.0530151,-0.052701
-0.24575,-0.1359296,-0.133103
-0.24325,-0.2090452,-0.2015703
-0.24075,-0.2741206,-0.2719221
-0.23825,-0.3376884,-0.334108
-0.23575,-0.4012563,-0.3925251
-0.23325,-0.4422111,-0.4264447
-0.23075,-0.4663317,-0.4729271
-0.22825,-0.4871859,-0.4986809
-0.22575,-0.4992462,-0.5131281
-0.22325,-0.5032663,-0.4949121
-0.22075,-0.4977387,-0.4949121
-0.21825,-0.4615578,-0.4666457
-0.21575,-0.4253769,-0.4346105
-0.21325,-0.3859296,-0.374309
-0.21075,-0.3135678,-0.3359925
-0.20825,-0.2540201,-0.2618719
-0.20575,-0.1914573,-0.1934045
-0.20325,-0.1077889,-0.1450377
-0.20075,-0.0241206,-0.0344849
-0.19825,0.0482412,0.0157663
-0.19575,0.1221106,0.108103
-0.19325,0.1977387,0.1684045
-0.19075,0.2733668,0.2525754
-0.18825,0.3296482,0.2971734
-0.18575,0.3859296,0.3511935
-0.18325,0.4309045,0.4096105
-0.18075,0.4728643,0.4315955
-0.17825,0.4871859,0.4699121
-0.17575,0.4984925,0.4900126
-0.17325,0.4937186,0.4818467
-0.17075,0.4816583,0.4680276
-0.16825,0.4502513,0.4535804
-0.16575,0.4180904,0.4077261
-0.16325,0.3698492,0.3694095
-0.16075,0.3128141,0.3109925
-0.15825,0.2444724,0.2607412
-0.15575,0.169598,0.1684045
-0.15325,0.0949749,0.108103
-0.15075,0.0233668,0.0459171
-0.14825,-0.0562814,-0.0646357
-0.14575,-0.1359296,-0.133103
-0.14325,-0.2090452,-0.2172739
-0.14075,-0.281407,-0.2738065
-0.13825,-0.3376884,-0.3259422
-0.13575,-0.3939698,-0.4107412
-0.13325,-0.4341708,-0.4346105
-0.13075,-0.4670854,-0.4547111
-0.12825,-0.4984925,-0.4949121
-0.12575,-0.5065327,-0.476696
-0.12325,-0.5065327,-0.5030779
-0.12075,-0.4824121,-0.4949121
-0.11825,-0.4663317,-0.4867462
-0.11575,-0.4188442,-0.3981784
-0.11325,-0.3778894,-0.3944095
-0.11075,-0.321608,-0.315892
-0.10825,-0.2572864,-0.2694095
-0.10575,-0.1841709,-0.1934045
-0.10325,-0.1045226,-0.1249372
-0.10075,-0.0321608,-0.052701
-0.09825,0.0530151,0.0396357
-0.09575,0.120603,0.1062186
-0.09325,0.201005,0.188505
-0.09075,0.2572864,0.268907
-0.08825,0.3296482,0.309108
-0.08575,0.3866834,0.349309
-0.08325,0.429397,0.4215452
-0.08075,0.459799,0.4315955
-0.07825,0.4871859,0.4900126
-0.07575,0.491206,0.4881281
-0.07325,0.4904523,0.4900126
-0.07075,0.4824121,0.4699121
-0.06825,0.4535176,0.4498116
-0.06575,0.4180904,0.4096105
-0.06325,0.3746231,0.3694095
-0.06075,0.3062814,0.3292085
-0.05825,0.2492462,0.268907
-0.05575,0.1776382,0.1866206
-0.05325,0.0964824,0.1282035
-0.05075,0.0233668,0.0478015
-0.04825,-0.0562814,-0.0407663
-0.04575,-0.1366834,-0.1312186
-0.04325,-0.2042714,-0.1814698
-0.04075,-0.281407,-0.2719221
-0.03825,-0.339196,-0.3221734
-0.03575,-0.3939698,-0.3944095
-0.03325,-0.4389447,-0.4465452
-0.03075,-0.4663317,-0.4565955
-0.02825,-0.4904523,-0.5030779
-0.02575,-0.4984925,-0.4949121
-0.02325,-0.5065327,-0.5030779
-0.02075,-0.4904523,-0.4930276
-0.01825,-0.4582915,-0.4628769
-0.01575,-0.4326633,-0.4327261
-0.01325,-0.3763819,-0.3824749
-0.01075,-0.3135678,-0.3322236
-0.00825,-0.2572864,-0.2738065
-0.00575,-0.1776382,-0.1952889
-0.00325,-0.1077889,-0.1249372
-0.00075,-0.0321608,-0.0508166
0.00175,0.0449749,0.0314698
0.00425,0.1278894,0.0898869
0.00675,0.1962312,0.188505
0.00925,0.2733668,0.268907
0.01175,0.3296482,0.309108
0.01425,0.3778894,0.3876256
0.01675,0.429397,0.4096105
0.01925,0.4663317,0.4661432
0.02175,0.4824121,0.4498116
0.02425,0.4984925,0.5063442
0.02675,0.4904523,0.4780779
0.02925,0.4816583,0.4699121
0.03175,0.4582915,0.4498116
0.03425,0.410804,0.4096105
0.03675,0.3698492,0.38951
0.03925,0.3062814,0.309108
0.04175,0.2492462,0.2406407
0.04425,0.1768844,0.1847362
0.04675,0.1012563,0.108103
0.04925,0.0233668,0.0113693
0.05175,-0.0562814,-0.0608668
0.05425,-0.1366834,-0.133103
0.05675,-0.2090452,-0.2097362
0.05925,-0.2806533,-0.2738065
0.06175,-0.3424623,-0.334108
0.06425,-0.3932161,-0.3925251
0.06675,-0.4389447,-0.4264447
0.06925,-0.4663317,-0.4930276
0.07175,-0.4937186,-0.4867462
0.07425,-0.5065327,-0.4949121
0.07675,-0.5017588,-0.5150126
0.07925,-0.4831658,-0.4949121
0.08175,-0.4630653,-0.4584799
0.08425,-0.4261306,-0.4346105
0.08675,-0.3778894,-0.3944095
0.08925,-0.321608,-0.334108
0.09175,-0.2572864,-0.2656407
0.09425,-0.1768844,-0.1934045
0.09675,-0.1125628,-0.1211683
0.09925,-0.0241206,-0.0709171
0.10175,0.0449749,0.0396357
0.10425,0.1278894,0.0917714
0.10675,0.201005,0.1966709
0.10925,0.2660804,0.2469221
0.11175,0.3344221,0.2971734
0.11425,0.3859296,0.3675251
0.11675,0.4309045,0.4177764
0.11925,0.4655779,0.4297111
0.12175,0.4871859,0.4535804
0.12425,0.4977387,0.4881281
0.12675,0.4984925,0.4699121
0.12925,0.4736181,0.4881281
0.13175,0.4550251,0.4378769
0.13425,0.4180904,0.411495
0.13675,0.3665829,0.3694095
0.13925,0.3135678,0.309108
0.14175,0.2492462,0.2569724
0.14425,0.169598,0.188505
0.14675,0.0964824,0.1200377
0.14925,0.0160804,0.0094849
0.15175,-0.0562814,-0.0326005
0.15425,-0.129397,-0.1130025
0.15675,-0.2075377,-0.1934045
0.15925,-0.2806533,-0.2719221
0.16175,-0.3376884,-0.3303392
0.16425,-0.4012563,-0.3925251
0.16675,-0.4389447,-0.4383794
0.16925,-0.4743719,-0.4710427
0.17175,-0.4937186,-0.4949121
0.17425,-0.4992462,-0.5131281
0.17675,-0.4984925,-0.5150126
0.17925,-0.4904523,-0.4949121
0.18175,-0.4582915,-0.4628769
0.18425,-0.4261306,-0.4346105
0.18675,-0.3746231,-0.4025754
0.18925,-0.321608,-0.3504397
0.19175,-0.2572864,-0.2738065
0.19425,-0.1849246,-0.2116206
0.19675,-0.1125628,-0.1130025
0.19925,-0.0321608,-0.0489322
0.20175,0.040201,0.0195352
0.20425,0.1140704,0.108103
0.20675,0.2042714,0.2004397
0.20925,0.2660804,0.228706
0.21175,0.3329146,0.3172739
0.21425,0.3851759,0.3694095
0.21675,0.4341708,0.4215452
0.21925,0.4582915,0.4315955
0.22175,0.4904523,0.4818467
0.22425,0.4904523,0.4699121
0.22675,0.4952261,0.4818467
0.22925,0.4896985,0.4881281
0.23175,0.4535176,0.4535804
0.23425,0.4253769,0.411495
0.23675,0.3665829,0.3694095
0.23925,0.3128141,0.3292085
0.24175,0.2444724,0.2607412
0.24425,0.1776382,0.1866206
0.24675,0.1045226,0.1282035
